strain	date	region	country	division
hDenV1/Colombia/HUI-UEB-033/2011	2011-03-01	South America	Colombia	Huila
hDenV1/Colombia/VAC-LSPVAC-2409164-VI/2024	2024-06-12	South America	Colombia	Valle del Cauca
hDenV1/Colombia/RIS-FUAA-DFC059/2021	2021-08-15	South America	Colombia	Risaralda
hDenV1/Colombia/un-FUAA-DFC222/2021	2021-12-03	South America	Colombia	
hDenV1/Colombia/un-FUAA-DFC245/2022	2022-07-24	South America	Colombia	
hDenV1/Colombia/un-FUAA-DFC217/2021	2021-11-30	South America	Colombia	
hDenV1/Colombia/un-FUAA-DFC088/2021	2021-08-28	South America	Colombia	
hDenV1/Colombia/RIS-FUAA-AFI224/2022	2022-04-06	South America	Colombia	Risaralda
hDenV1/Colombia/RIS-FUAA-AFI101/2021	2021-05-08	South America	Colombia	Risaralda
hDenV1/Colombia/un-FUAA-DFC161/2021	2021-10-16	South America	Colombia	
hDenV1/Colombia/un-FUAA-DFC177/2021	2021-10-29	South America	Colombia	
hDenV1/Colombia/un-FUAA-DFC265/2022	2022-12-11	South America	Colombia	
hDenV1/Colombia/un-FUAA-DFC087/2021	2021-08-24	South America	Colombia	
hDenV1/Colombia/un-FUAA-DFC114/2021	2021-09-06	South America	Colombia	
hDenV1/Colombia/un-FUAA-DFC096/2021	2021-08-30	South America	Colombia	
hDenV1/Colombia/un-FUAA-DFC063/2021	2021-08-15	South America	Colombia	
hDenV1/Colombia/un-FUAA-DFC263/2022	2022-05-11	South America	Colombia	
hDenV1/Colombia/un-FUAA-DFC162/2021	2021-10-17	South America	Colombia	
hDenV1/Colombia/un-FUAA-DFC264/2022	2022-11-11	South America	Colombia	
hDenV1/Colombia/RIS-FUAA-AFI031/2021	2021-02-16	South America	Colombia	Risaralda
hDenV1/Colombia/RIS-FUAA-AFI082/2021	2021-06-28	South America	Colombia	Risaralda
hDenV1/Colombia/un-FUAA-DFC238/2021	2021-12-12	South America	Colombia	
hDenV1/Colombia/un-FUAA-DFC112/2021	2021-09-06	South America	Colombia	
hDenV1/Colombia/SAN-Yale-DH141-P2/2004	2004	South America	Colombia	Santander
DenV1/mosquito/Colombia/MAG-CIST-0134/2018	2018-10-04	South America	Colombia	Magdalena
DenV1/mosquito/Colombia/MAG-CIST-0151/2018	2018-11-01	South America	Colombia	Magdalena
hDenV1/Colombia/BOL-UEB-016/2019	2019-09	South America	Colombia	Bolivar
hDenV1/Colombia/BOL-UEB-152/2019	2019-09	South America	Colombia	Bolivar
hDenV1/Colombia/BOL-UEB-152-1/2019	2019-09	South America	Colombia	Bolivar
hDenV1/Colombia/BOL-UEB-016-1/2019	2019-09	South America	Colombia	Bolivar
hDenV1/Colombia/un-FUAA-AFI007673/2019	2019-09	South America	Colombia	
hDenV1/Colombia/SAN-UR-P201080030/2015	2015-03	South America	Colombia	Santander
hDenV1/Colombia/SAN-UR-LV121086/2010	2010-03	South America	Colombia	Santander
hDenV1/Colombia/SAN-UR-LV122007/2009	2009-08	South America	Colombia	Santander
hDenV1/Colombia/SAN-UR-F15030291/2014	2014-06	South America	Colombia	Santander
hDenV1/Colombia/NSA-UIDS-555/2001	2001-12	South America	Colombia	Norte de Santander
hDenV1/Colombia/NSA-UIDS-559/2015	2015-12	South America	Colombia	Norte de Santander
hDenV1/Colombia/NSA-UIDS-556/2015	2015-04	South America	Colombia	Norte de Santander
hDenV1/Colombia/NSA-UIDS-558/2016	2016-04	South America	Colombia	Norte de Santander
hDenV1/Colombia/NSA-UIDS-557/2009	2009-09	South America	Colombia	Norte de Santander
hDenV1/Colombia/un-UDS-Ov07582/2013	2013-09-08	South America	Colombia	
hDenV1/Colombia/ANT-UDS-0746586/2013	2013-08-09	South America	Colombia	Antioquia
hDenV1/Colombia/FUADLA-AFI025_676/2021	2021-01-25	South America	Colombia	
hDenV1/Colombia/FUADLA-AFI059_677/2021	2021-01-25	South America	Colombia	
strain	date	country
2016.874	2016-01-01	Taiwan
2016.79	2016-01-01	Taiwan
2004.538	2004-01-01	Taiwan
2004.5_3	2004-01-01	Philippines
2016.041	2016-01-01	Philippines
2002.707	2002-01-01	China
2005.5_8	2005-01-01	Malaysia
1960.5	1960-01-01	Thailand
2017.775	2017-01-01	China
2017.315	2017-01-01	China
2014.915	2014-01-01	BKK
2016.669	2016-01-01	China
2014.934	2014-01-01	BKK
2017.288	2017-01-01	Thailand
2015.808	2015-01-01	China
2013.688	2013-01-01	BKK
2011.581	2011-01-01	BKK
2011.321	2011-01-01	BKK
2011.507	2011-01-01	KPP
2011.003	2011-01-01	BKK
2010.57	2010-01-01	BKK
2002.463	2002-01-01	KPP
2011.559	2011-01-01	KPP
2011.474	2011-01-01	KPP
2002.479	2002-01-01	KPP
2011.501	2011-01-01	KPP
2010.926	2010-01-01	BKK
2010.86	2010-01-01	BKK
2010.827	2010-01-01	BKK
2011.036	2011-01-01	BKK
2010.825	2010-01-01	BKK
1997.584	1997-01-01	KPP
2011.515	2011-01-01	BKK
2011.378	2011-01-01	BKK
2011.505	2011-01-01	BKK
2011.986	2011-01-01	KPP
2013.5	2013-01-01	BKK
2011.974	2011-01-01	BKK
2011.973	2011-01-01	BKK
2011.912	2011-01-01	BKK
2011.51	2011-01-01	BKK
2013.027	2013-01-01	BKK
2013.022	2013-01-01	BKK
2012.913	2012-01-01	BKK
2011.764	2011-01-01	BKK
2013.26	2013-01-01	BKK
2012.85	2012-01-01	BKK
2009.625	2009-01-01	KPP
2009.556	2009-01-01	KPP
2007.622_2	2007-01-01	KPP
2007.488	2007-01-01	KPP
2007.419	2007-01-01	KPP
2007.479	2007-01-01	KPP
2006.97_3	2006-01-01	BKK
2006.926_3	2006-01-01	BKK
2006.921	2006-01-01	BKK
2006.896	2006-01-01	BKK
2006.863	2006-01-01	BKK
2006.91	2006-01-01	BKK
2006.66	2006-01-01	KPP
