strain	country	genotype	accession	extra
2007.2	BKK	2V	00335/07	.
2007.241	BKK	2IIr	00408/07	.
2007.332	BKK	2V	00496/07	.
2007.348	BKK	2V	00511/07	.
2007.348_2	KPP	2V	30187/07	.
2007.375	BKK	2V	00538/07	.
2007.395	BKK	2V	00576/07	.
2007.441	KPP	2V	30255/07	.
2007.458	KPP	2V	30293/07	.
2007.463	KPP	2V	30285/07	.
2007.5	KPP	2V	30303/07	.
2007.526	BKK	2V	00938/07	.
2007.671	BKK	2V	01496/07	.
2007.732	BKK	2V	01726/07	.
2007.764	BKK	2V	01836/07	.
2007.773	BKK	2V	01849/07	.
2007.822	BKK	2II	02039/07	.
2007.836	BKK	2V	02071/07	.
2007.847	BKK	2V	02108/07	.
2007.866	BKK	2V	02195/07	.
2008.623	Singapore	2II	GU370051	.
2009.353	KPP	2V	30149/09	.
2009.367	KPP	2II	30155/09	.
2009.395	KPP	2V	30167/09	.
2009.416	KPP	2V	30182/09	.
2009.458	KPP	2V	30249/09	.
2009.485	KPP	2V	30260/09	.
2009.49	KPP	2V	30258/09	.
2009.5	Thailand	2II	KU509272	.
2009.521	KPP	2V	30310/09	.
2009.553	KPP	2V	30395/09	.
2009.57	KPP	2V	30427/09	.
2009.633	KPP	2V	30562/09	.
2009.679	KPP	2V	30620/09	.
2009.699	KPP	2V	30637/09	.
2009.775	KPP	2V	30692/09	.
2009.849	Laos	2V	KY849765	.
2009.959	KPP	2V	30756/09	.
2010.104	KPP	2V	30037/10	.
2010.266	KPP	2V	30122/10	.
2010.326	Laos	2V	KY849766	.
2010.444	KPP	2V	30224/10	.
2010.477	KPP	2V	30243/10	.
2010.57	BKK	2V	00791/10	.
2010.622	BKK	2V	00911/10	.
2010.663	BKK	2V	01066/10	.
2010.682	BKK	2V	01109/10	.
2010.704	BKK	2V	01206/10	.
2010.773	BKK	2V	01340/10	.
2010.781	BKK	2V	01363/10	.
2010.797	BKK	2V	01384/10	.
2010.83	BKK	2V	01449/10	.
2010.89	BKK	2V	01549/10	.
2010.945	BKK	2V	01624/10	.
2011.03	BKK	2V	00045/11	.
2011.192	BKK	2V	00206/11	.
2011.205	BKK	2V	00220/11	.
2011.312	BKK	2V	00322/11	.
2011.323	BKK	2V	00331/11	.
2011.353	BKK	2V	00381/11	.
2011.438	BKK	2V	00556/11	.
2011.452	BKK	2V	00606/11	.
2011.466	BKK	2V	00647/11	.
2011.499	BKK	2V	00753/11	.
2011.5	Singapore	2II	KM279526	.
2011.529	BKK	2V	00825/11	.
2011.529_2	BKK	2V	00828/11	.
2011.778	BKK	2V	01220/11	.
2011.838	BKK	2V	01298/11	.
2011.956	BKK	2V	01429/11	.
2011.975	BKK	2V	01454/11	.
2012.025	BKK	2V	00009/12	.
2012.197	BKK	2V	00118/12	.
2012.219	BKK	2V	00144/12	.
2012.451	BKK	2V	00258/12	.
2012.473	BKK	2V	00273/12	.
2012.563	BKK	2V	00334/12	.
2012.577	BKK	2V	00342/12	.
2012.607	BKK	2V	00376/12	.
2012.672	BKK	2V	00478/12	.
2012.814	BKK	2V	00669/12	.
2012.833	BKK	2V	00741/12	.
2012.858	BKK	2V	00795/12	.
2012.869	BKK	2V	00826/12	.
2012.907	BKK	2V	00907/12	.
2012.967	BKK	2V	01090/12	.
2012.967_2	BKK	2V	01092/12	.
2012.986	BKK	2V	01113/12	.
2013.011	BKK	2V	00058/13	.
2013.011_2	China	2IIIr	KF479233	.
2013.027	BKK	2V	00078/13	.
2013.085	BKK	2V	00225/13	.
2013.112	BKK	2V	00269/13	.
2013.118	BKK	2V	00280/13	.
2013.49	BKK	2V	00662/13	.
2013.507	BKK	2V	00696/13	.
2013.581	BKK	2V	00838/13	.
2013.934	BKK	2V	01726/13	.
2013.978	BKK	2V	00016/14	.
2014.041	Malaysia	2II	KX452039	.
2014.203	Singapore	2II	KY921904	.
2014.405	China	2II	MN018357	.
2014.5	China	2II	KP012546	.
2014.622	Thailand	2V	MH888331	.
2014.918	BKK	2V	00740/14	.
2015.5	Taiwan	2II	KU365902	.
2016.708	Thailand	2V	LC410184	.
2016.79	Thailand	2II	LC410189	.
2016.79_2	Thailand	2II	LC410190	.
2016.874	Thailand	2V	LC410185	.
2016.956	Thailand	2V	LC410186	.
2017.041	Thailand	2V	LC410187	.
2017.126	Thailand	2II	LC410191	.
2017.126_2	Thailand	2V	LC410188	.
2017.192	China	2II	MN018344	.
