taxon,date
hDenV1_Colombia_VAC-LSPVAC-2401811_2024_EPI_ISL_19216373_2024-01-30,2024.0795
hDenV1_Colombia_un-OUCRU-10124_2013_EPI_ISL_17410868_2013,2013.5000
hDenV1_Colombia_un-OUCRU-134_2013_EPI_ISL_17610606_2013,2013.5000
hDenV1_Colombia_un-OUCRU-101212_2013_EPI_ISL_17410875_2013,2013.5000
hDenV1_Colombia_un-OUCRU-511_2013_EPI_ISL_17610672_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000063_2013_EPI_ISL_17439445_2013,2013.5000
hDenV1_Colombia_CAU-INS-483718_2016_EPI_ISL_17783295_2016-06-24,2016.4795
hDenV1_Colombia_un-INS-484942_2016_EPI_ISL_17783298_2016-07-14,2016.5342
hDenV1_Colombia_un-OUCRU-101224_2011_EPI_ISL_17410887_2011,2011.5000
hDenV1_Colombia_un-OUCRU-525_2011_EPI_ISL_17610676_2011,2011.5000
hDenV1_Colombia_un-OUCRU-101232_2013_EPI_ISL_17410895_2013,2013.5000
hDenV1_Colombia_un-OUCRU-513_2013_EPI_ISL_17610674_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000048_2013_EPI_ISL_17439306_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000052_2013_EPI_ISL_17439434_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000006_2012_EPI_ISL_17439265_2012,2012.5000
hDenV1_Colombia_un-OUCRU-0000040_2013_EPI_ISL_17439298_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000092_2012_EPI_ISL_17439408_2012,2012.5000
hDenV1_Colombia_un-OUCRU-0000069_2012_EPI_ISL_17439451_2012,2012.5000
hDenV1_Colombia_un-OUCRU-0000070_2012_EPI_ISL_17439452_2012,2012.5000
hDenV1_Colombia_SAN-UIS-0000018_2016_EPI_ISL_17434729_2016,2016.5000
hDenV1_Colombia_NSA-UIDS-558_2016_EPI_ISL_715735_2016-04,2016.2911
hDenV1_Colombia_SAN-BROAD-0000037_2005_EPI_ISL_17436907_2005,2005.5000
hDenV1_Colombia_NSA-UIS-00011_2006_EPI_ISL_17572857_2006,2006.5000
