strain	date	region	country	division	genotype	lineage
hDenV3/Colombia/un-FNSP-38320677/2006	2006-02-07	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-FNSP-182060578/2005	2005-05-18	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-FNSP-312330474/2004	2004-12-06	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-FNSP-223790472/2004	2004-09-15	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-FNSP-110490373/2003	2003-08-21	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-FNSP-52920369/2003	2003-04-21	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-FNSP-164070271/2002	2002-08-29	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-FNSP-158590270/2002	2002-08-21	South America	Colombia		III	3III_C.1
hDenV3/Colombia/NSA-UIDS-291/2015	2015-05	South America	Colombia	Norte de Santander	III	3III_C.2
hDenV3/Colombia/NSA-UIDS-292/2014	2014-10	South America	Colombia	Norte de Santander	III	3III_C.2
hDenV3/Colombia/NSA-UIDS-304/2007	2007-02	South America	Colombia	Norte de Santander	III	3III_C.2
hDenV3/Colombia/NSA-UIDS-303/2007	2007-02	South America	Colombia	Norte de Santander	III	3III_C.1
hDenV3/Colombia/NSA-UIDS-302/2007	2007-05	South America	Colombia	Norte de Santander	III	3III_C.1
hDenV3/Colombia/NSA-UIDS-310/2010	2010-04	South America	Colombia	Norte de Santander	III	3III_C.2
hDenV3/Colombia/NSA-UIDS-311/2010	2010-03	South America	Colombia	Norte de Santander	III	3III_C.2
hDenV3/Colombia/NSA-UIDS-312/2010	2010-01	South America	Colombia	Norte de Santander	III	3III_C.2
hDenV3/Colombia/NSA-UIDS-306/2009	2009-08	South America	Colombia	Norte de Santander	III	3III_C.2
hDenV3/Colombia/NSA-UIDS-294/2002	2002-04	South America	Colombia	Norte de Santander	III	3III_C.1
hDenV3/Colombia/NSA-UIDS-315/2010	2010-09	South America	Colombia	Norte de Santander	III	3III_C.2
hDenV3/Colombia/NSA-UIDS-314/2010	2010-07	South America	Colombia	Norte de Santander	III	3III_C.1
hDenV3/Colombia/NSA-UIDS-316/2010	2010-06	South America	Colombia	Norte de Santander	III	3III_C.1
hDenV3/Colombia/NSA-UIDS-317/2010	2010-04	South America	Colombia	Norte de Santander	III	3III_C.2
hDenV3/Colombia/NSA-UIDS-318/2010	2010-03	South America	Colombia	Norte de Santander	III	3III_C.2
hDenV3/Colombia/NSA-UIDS-319/2010	2010-02	South America	Colombia	Norte de Santander	III	3III_C.2
hDenV3/Colombia/NSA-UIDS-308/2009	2009-09	South America	Colombia	Norte de Santander	III	3III_C.2
hDenV3/Colombia/NSA-UIDS-307/2009	2009-05	South America	Colombia	Norte de Santander	III	3III_C.1
hDenV3/Colombia/NSA-UIDS-309/2010	2010-10	South America	Colombia	Norte de Santander	III	3III_C.2
hDenV3/Colombia/NSA-UIDS-313/2010	2010-02	South America	Colombia	Norte de Santander	III	3III_C.2
hDenV3/Colombia/NSA-UIDS-305/2008	2008-05	South America	Colombia	Norte de Santander	III	3III_C.2
hDenV3/Colombia/NSA-UIDS-293/2002	2002-07	South America	Colombia	Norte de Santander	III	3III_C.1
hDenV3/Colombia/NSA-UIDS-295/2002	2002-03	South America	Colombia	Norte de Santander	III	3III_C.1
hDenV3/Colombia/NSA-UIDS-296/2003	2003-12	South America	Colombia	Norte de Santander	III	3III_C.1
hDenV3/Colombia/NSA-UIDS-297/2003	2003-08	South America	Colombia	Norte de Santander	III	3III_C.1
hDenV3/Colombia/NSA-UIDS-298/2003	2003-08	South America	Colombia	Norte de Santander	III	3III_C.1
hDenV3/Colombia/NSA-UIDS-299/2003	2003-08	South America	Colombia	Norte de Santander	III	3III_C.1
hDenV3/Colombia/NSA-UIDS-300/2003	2003-08	South America	Colombia	Norte de Santander	III	3III_C.1
hDenV3/Colombia/NSA-UIDS-301/2003	2003-07	South America	Colombia	Norte de Santander	III	3III_C.1
hDenV3/Colombia/NSA-UIDS-562/2015	2015-04	South America	Colombia	Norte de Santander	III	3III_C.2
hDenV3/Colombia/NSA-UIDS-561/2015	2015-03	South America	Colombia	Norte de Santander	III	3III_C.1
hDenV3/Colombia/NSA-UIDS-563/2014	2014-08	South America	Colombia	Norte de Santander	III	3III_C.2
hDenV3/Colombia/NSA-UIDS-564/2014	2014-07	South America	Colombia	Norte de Santander	III	3III_C.1
hDenV3/Colombia/ANT-UIDS-1080215/2015	2015-06	South America	Colombia	Bolivar	III	3III_C.2
hDenV3/Colombia/un-CNIH-476947/2016	2016-04-16	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-CNIH-449686/2015	2015-09-15	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CNIH-449982/2015	2015-09-07	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CNIH-449335/2015	2015-08-23	South America	Colombia		III	3III_C.2
hDenV3/Colombia/SUC-UDS-Cz19583/2013	2013-10-21	South America	Colombia	Sucre	III	3III_C.2
hDenV3/Colombia/SUC-UDS-Si36585/2013	2013-09-01	South America	Colombia	Sucre	III	3III_C.2
hDenV3/Colombia/SUC-UDS-Cz08584/2013	2013-07-20	South America	Colombia	Sucre	III	3III_C.2
hDenV3/Colombia/ANT-UDS-0267594/2014	2014-01-21	South America	Colombia	Antioquia	III	3III_C.2
hDenV3/Colombia/ANT-UDS-0757593/2013	2013-11-27	South America	Colombia	Antioquia	III	3III_C.2
hDenV3/Colombia/ANT-UDS-0758592/2013	2013-11-25	South America	Colombia	Antioquia	III	3III_C.2
hDenV3/Colombia/ANT-UDS-0751591/2013	2013-10-25	South America	Colombia	Antioquia	III	3III_C.1
hDenV3/Colombia/ANT-UDS-0221590/2013	2013-06-05	South America	Colombia	Antioquia	III	3III_C.2
hDenV3/Colombia/ANT-UDS-0690589/2013	2013-03-15	South America	Colombia	Antioquia	III	3III_C.2
hDenV3/Colombia/ANT-UDS-0671588/2012	2012-12-18	South America	Colombia	Antioquia	III	3III_C.2
hDenV3/Colombia/ANT-UDS-0109587/2012	2012-08-31	South America	Colombia	Antioquia	III	3III_C.2
